delay,50
params,1.0000,0.5717,0.8334,-0.1000
pos,438,4.4953,-1.2306,1.3210,-1.7031
pos,439,4.4994,-1.2171,1.3233,-1.7024
pos,440,4.5034,-1.2036,1.3257,-1.7017
pos,441,4.5074,-1.1899,1.3279,-1.7009
pos,442,4.5113,-1.1761,1.3302,-1.7002
pos,443,4.5151,-1.1622,1.3324,-1.6994
pos,444,4.5188,-1.1482,1.3347,-1.6987
pos,445,4.5225,-1.1340,1.3368,-1.6979
pos,446,4.5261,-1.1197,1.3390,-1.6972
pos,447,4.5296,-1.1052,1.3411,-1.6964
pos,448,4.5331,-1.0905,1.3433,-1.6957
pos,449,4.5365,-1.0757,1.3454,-1.6949
pos,450,4.5399,-1.0607,1.3475,-1.6942
pos,451,4.5432,-1.0455,1.3495,-1.6935
pos,452,4.5465,-1.0300,1.3516,-1.6927
pos,453,4.5497,-1.0144,1.3537,-1.6920
pos,454,4.5529,-0.9986,1.3557,-1.6913
pos,455,4.5560,-0.9825,1.3577,-1.6906
pos,456,4.5591,-0.9662,1.3598,-1.6898
pos,457,4.5621,-0.9497,1.3618,-1.6891
pos,458,4.5652,-0.9329,1.3638,-1.6884
pos,459,4.5681,-0.9159,1.3659,-1.6877
pos,460,4.5711,-0.8988,1.3679,-1.6871
pos,461,4.5740,-0.8817,1.3698,-1.6864
pos,462,4.5768,-0.8645,1.3718,-1.6857
pos,463,4.5796,-0.8472,1.3737,-1.6850
pos,464,4.5824,-0.8298,1.3757,-1.6844
pos,465,4.5851,-0.8123,1.3776,-1.6837
pos,466,4.5878,-0.7947,1.3794,-1.6831
pos,467,4.5904,-0.7771,1.3813,-1.6824
pos,468,4.5930,-0.7595,1.3831,-1.6818
pos,469,4.5955,-0.7419,1.3849,-1.6812
pos,470,4.5980,-0.7242,1.3867,-1.6806
pos,471,4.6005,-0.7066,1.3885,-1.6800
pos,472,4.6029,-0.6889,1.3902,-1.6794
pos,473,4.6052,-0.6712,1.3920,-1.6788
pos,474,4.6076,-0.6536,1.3937,-1.6782
pos,475,4.6099,-0.6359,1.3953,-1.6777
pos,476,4.6122,-0.6183,1.3970,-1.6772
pos,477,4.6144,-0.6007,1.3986,-1.6767
pos,478,4.6166,-0.5830,1.4002,-1.6762
pos,479,4.6188,-0.5655,1.4018,-1.6758
pos,480,4.6209,-0.5479,1.4034,-1.6754
